year,region,comp,compcode,place,group,university,score,award,gender
2007,new england,Semifinal,1,1,Zumbyes,AMHERST COLLEGE,388,1,male
2007,new england,Quarterfinal,1,1,Zumbyes,AMHERST COLLEGE,422,1,male
2007,final,Final,1,3,Zumbyes,AMHERST COLLEGE,335,0,male
2018,south,Quarterfinal,4,2,Enharmonix,APPALACHIAN STATE UNIVERSITY,337,1,coed
2017,south,Quarterfinal,1,2,Enharmonix,APPALACHIAN STATE UNIVERSITY,319,0,coed
2009,south,Quarterfinal,1,2,Another Level,APPALACHIAN STATE UNIVERSITY,356,1,male
2019,southwest,Quarterfinal,1,3,TEMPEtations,ARIZONA STATE UNIVERSITY-TEMPE,335,0,coed
2018,southwest,Quarterfinal,3,1,TEMPEtations,ARIZONA STATE UNIVERSITY-TEMPE,374,1,coed
2015,west,Quarterfinal,5,3,Priority Male,ARIZONA STATE UNIVERSITY-TEMPE,363,0,male
2014,west,Quarterfinal,5,3,TEMPEtations,ARIZONA STATE UNIVERSITY-TEMPE,335,1,coed
2013,west,Quarterfinal,2,1,Priority Male,ARIZONA STATE UNIVERSITY-TEMPE,385,2,male
2013,west,Quarterfinal,2,2,Pitchforks,ARIZONA STATE UNIVERSITY-TEMPE,354,1,female
2012,west,Quarterfinal,4,3,Pitchforks,ARIZONA STATE UNIVERSITY-TEMPE,280,0,female
2019,midwest,Quarterfinal,3,3,Unexpected Resolution,BALL STATE UNIVERSITY,298,1,male
2019,midwest,Semifinal,1,1,Sedoctave,BALL STATE UNIVERSITY,378,0,coed
2019,midwest,Quarterfinal,3,1,Sedoctave,BALL STATE UNIVERSITY,379,2,coed
2018,midwest,Quarterfinal,2,2,Unexpected Resolution,BALL STATE UNIVERSITY,333,0,male
2018,midwest,Quarterfinal,2,1,Sedoctave,BALL STATE UNIVERSITY,427,1,coed
2018,midwest,Quarterfinal,2,3,Note to Self,BALL STATE UNIVERSITY,317,0,male
2017,midwest,Quarterfinal,2,1,Sedoctave,BALL STATE UNIVERSITY,387,1,coed
2017,midwest,Quarterfinal,2,2,Ladies' Choice,BALL STATE UNIVERSITY,359,1,female
2016,midwest,Quarterfinal,1,3,Sedoctave,BALL STATE UNIVERSITY,330,0,coed
2016,midwest,Quarterfinal,1,1,Note to Self,BALL STATE UNIVERSITY,402,1,male
2016,midwest,Quarterfinal,1,2,Ladies' Choice,BALL STATE UNIVERSITY,397,1,female
2015,midwest,Quarterfinal,1,3,Sedoctave,BALL STATE UNIVERSITY,339,1,coed
2013,northeast,Quarterfinal,2,2,Manic Optimists,BATES COLLEGE,332,0,male
2017,southwest,Quarterfinal,1,1,VirtuOSO,BAYLOR UNIVERSITY,416,2,coed
2015,south,Semifinal,1,1,VirtuOSO,BAYLOR UNIVERSITY,397,0,coed
2015,south,Quarterfinal,3,1,VirtuOSO,BAYLOR UNIVERSITY,442,2,coed
2019,south,Semifinal,1,2,Prismatics,BELMONT UNIVERSITY,354,2,coed
2019,south,Quarterfinal,1,1,Prismatics,BELMONT UNIVERSITY,403,1,coed
2019,south,Quarterfinal,1,2,Beltones,BELMONT UNIVERSITY,388,0,coed
2018,south,Quarterfinal,2,2,Prismatics,BELMONT UNIVERSITY,420,2,coed
2017,south,Semifinal,1,1,Beltones,BELMONT UNIVERSITY,371,2,coed
2017,south,Quarterfinal,1,1,Beltones,BELMONT UNIVERSITY,400,1,coed
2015,south,Semifinal,1,2,Beltones,BELMONT UNIVERSITY,392,1,coed
2015,south,Quarterfinal,3,2,Beltones,BELMONT UNIVERSITY,392,0,coed
2014,wildcard,Wildcard,1,1,Beltones,BELMONT UNIVERSITY,329,0,coed
2014,south,Semifinal,1,2,Beltones,BELMONT UNIVERSITY,344,0,coed
2014,south,Quarterfinal,3,2,Beltones,BELMONT UNIVERSITY,341,0,coed
2013,wildcard,Wildcard,1,1,Beltones,BELMONT UNIVERSITY,381,0,coed
2013,south,Semifinal,1,2,Beltones,BELMONT UNIVERSITY,391,1,coed
2013,south,Quarterfinal,3,1,Beltones,BELMONT UNIVERSITY,395,1,coed
2019,northeast,Quarterfinal,2,2,CharlieChords,BERKLEE COLLEGE OF MUSIC,299,1,male
2018,final,Final,1,2,Upper Structure,BERKLEE COLLEGE OF MUSIC,319,1,coed
2018,northeast,Semifinal,1,1,Upper Structure,BERKLEE COLLEGE OF MUSIC,420,3,coed
2018,northeast,Quarterfinal,1,1,Upper Structure,BERKLEE COLLEGE OF MUSIC,411,2,coed
2018,northeast,Quarterfinal,2,2,CharlieChords,BERKLEE COLLEGE OF MUSIC,334,1,male
2017,wildcard,Wildcard,1,2,Upper Structure,BERKLEE COLLEGE OF MUSIC,344,0,coed
2017,northeast,Semifinal,1,2,Upper Structure,BERKLEE COLLEGE OF MUSIC,379,2,coed
2017,northeast,Quarterfinal,3,1,Upper Structure,BERKLEE COLLEGE OF MUSIC,371,2,coed
2016,northeast,Quarterfinal,1,3,CharlieChords,BERKLEE COLLEGE OF MUSIC,314,0,male
2015,northeast,Semifinal,1,3,CharlieChords,BERKLEE COLLEGE OF MUSIC,338,1,male
2015,northeast,Quarterfinal,1,1,CharlieChords,BERKLEE COLLEGE OF MUSIC,377,1,male
2014,northeast,Semifinal,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,414,2,coed
2014,northeast,Quarterfinal,3,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,431,3,coed
2014,final,Final,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,431,3,coed
2011,northeast,Semifinal,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,435,1,coed
2011,northeast,Quarterfinal,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,418,1,coed
2011,final,Final,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,403,0,coed
2010,northeast,Semifinal,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,426,1,coed
2010,northeast,Quarterfinal,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,450,3,coed
2010,final,Final,1,2,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,376,1,coed
2009,northeast,Semifinal,1,3,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,313,0,coed
2009,northeast,Quarterfinal,2,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,406,1,coed
2008,northeast,Quarterfinal,2,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,412,NA,coed
2007,new england,Quarterfinal,1,3,Sharps,BOSTON COLLEGE,259,1,female
2016,northeast,Quarterfinal,2,1,Treblemakers,BOSTON UNIVERSITY,408,2,coed
2016,northeast,Quarterfinal,1,1,In Achord,BOSTON UNIVERSITY,352,1,coed
2016,northeast,Quarterfinal,2,3,Dear Abbeys,BOSTON UNIVERSITY,338,0,male
2016,northeast,Semifinal,1,1,BosTones,BOSTON UNIVERSITY,357,1,coed
2016,northeast,Quarterfinal,2,2,BosTones,BOSTON UNIVERSITY,374,1,coed
2014,northeast,Quarterfinal,3,3,In Achord,BOSTON UNIVERSITY,280,0,coed
2013,northeast,Quarterfinal,3,3,BosTones,BOSTON UNIVERSITY,270,0,coed
2011,northeast,Quarterfinal,1,3,BosTones,BOSTON UNIVERSITY,312,1,coed
2009,northeast,Quarterfinal,1,3,BosTones,BOSTON UNIVERSITY,319,1,coed
2008,northeast,Quarterfinal,2,2,Dynamics,BOSTON UNIVERSITY,350,NA,coed
2008,northeast,Quarterfinal,1,3,Barbershop Sweethearts,BOSTON UNIVERSITY,323,1,female
2007,new england,Quarterfinal,1,2,Terpsichore,BOSTON UNIVERSITY,347,1,female
2007,new england,Quarterfinal,2,1,In Achord,BOSTON UNIVERSITY,411,2,coed
2006,new england,Quarterfinal,4,2,Treblemakers,BOSTON UNIVERSITY,346,1,coed
2006,new england,Quarterfinal,2,3,Terpsichore,BOSTON UNIVERSITY,317,1,female
2006,new england,Semifinal,1,2,In Achord,BOSTON UNIVERSITY,340,1,coed
2006,new england,Quarterfinal,3,1,In Achord,BOSTON UNIVERSITY,382,2,coed
2011,northeast,Quarterfinal,4,1,Longfellows,BOWDOIN COLLEGE,350,0,male
2019,midwest,Semifinal,1,3,Ten40,BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS,322,0,male
2019,midwest,Quarterfinal,3,2,Ten40,BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS,367,1,male
2018,midwest,Quarterfinal,1,3,Ten40,BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS,295,0,male
2017,central,Quarterfinal,2,3,Ten40,BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS,358,1,male
2016,central,Quarterfinal,2,1,Ten40,BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS,363,0,male
2015,great lakes,Semifinal,1,3,Ten40,BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS,316,1,male
2015,great lakes,Quarterfinal,1,1,Ten40,BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS,415,3,male
2014,great lakes,Quarterfinal,3,1,Ten40,BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS,386,0,male
2011,northeast,Quarterfinal,3,3,Starving Artists,BRANDEIS UNIVERSITY,301,1,coed
2010,northeast,Quarterfinal,4,2,Starving Artists,BRANDEIS UNIVERSITY,363,1,coed
2007,new england,Quarterfinal,4,2,VoiceMale,BRANDEIS UNIVERSITY,392,1,male
2019,southwest,Quarterfinal,3,2,Rifftide,BRIGHAM YOUNG UNIVERSITY-PROVO,330,0,coed
2018,southwest,Quarterfinal,1,1,Beyond Measure,BRIGHAM YOUNG UNIVERSITY-PROVO,438,1,coed
2016,northwest,Quarterfinal,3,1,Noteworthy,BRIGHAM YOUNG UNIVERSITY-PROVO,415,1,female
2016,northwest,Semifinal,1,3,Beyond Measure,BRIGHAM YOUNG UNIVERSITY-PROVO,370,2,coed
2016,northwest,Quarterfinal,3,2,Beyond Measure,BRIGHAM YOUNG UNIVERSITY-PROVO,371,2,coed
2015,west,Quarterfinal,1,3,Beyond Measure,BRIGHAM YOUNG UNIVERSITY-PROVO,377,0,coed
2014,wildcard,Wildcard,1,3,Noteworthy,BRIGHAM YOUNG UNIVERSITY-PROVO,305,0,female
2014,west,Semifinal,1,3,Noteworthy,BRIGHAM YOUNG UNIVERSITY-PROVO,319,0,female
2014,west,Quarterfinal,1,2,Noteworthy,BRIGHAM YOUNG UNIVERSITY-PROVO,367,1,female
2014,west,Semifinal,1,2,Beyond Measure,BRIGHAM YOUNG UNIVERSITY-PROVO,365,1,coed
2014,west,Quarterfinal,4,2,Beyond Measure,BRIGHAM YOUNG UNIVERSITY-PROVO,384,1,coed
2012,west,Quarterfinal,1,1,Noteworthy,BRIGHAM YOUNG UNIVERSITY-PROVO,399,0,female
2011,west,Semifinal,1,1,Vocal Point,BRIGHAM YOUNG UNIVERSITY-PROVO,424,2,male
2011,west,Quarterfinal,1,1,Vocal Point,BRIGHAM YOUNG UNIVERSITY-PROVO,423,2,male
2011,final,Final,1,2,Vocal Point,BRIGHAM YOUNG UNIVERSITY-PROVO,367,2,male
2010,west,Quarterfinal,1,1,Noteworthy,BRIGHAM YOUNG UNIVERSITY-PROVO,400,4,female
2008,west,Quarterfinal,2,2,Vocal Point,BRIGHAM YOUNG UNIVERSITY-PROVO,312,0,male
2008,west,Quarterfinal,3,2,Noteworthy,BRIGHAM YOUNG UNIVERSITY-PROVO,357,1,female
2007,west,Semifinal,1,2,Vocal Point,BRIGHAM YOUNG UNIVERSITY-PROVO,394,0,male
2007,west,Quarterfinal,3,1,Vocal Point,BRIGHAM YOUNG UNIVERSITY-PROVO,445,2,male
2007,west,Semifinal,1,1,Noteworthy,BRIGHAM YOUNG UNIVERSITY-PROVO,411,1,female
2007,west,Quarterfinal,4,1,Noteworthy,BRIGHAM YOUNG UNIVERSITY-PROVO,455,1,female
2007,final,Final,1,1,Noteworthy,BRIGHAM YOUNG UNIVERSITY-PROVO,431,1,female
2006,west,Semifinal,1,1,Vocal Point,BRIGHAM YOUNG UNIVERSITY-PROVO,NA,2,male
2006,west,Quarterfinal,1,1,Vocal Point,BRIGHAM YOUNG UNIVERSITY-PROVO,427,0,male
2006,final,Final,1,1,Vocal Point,BRIGHAM YOUNG UNIVERSITY-PROVO,422,1,male
2006,west,Quarterfinal,1,2,Noteworthy,BRIGHAM YOUNG UNIVERSITY-PROVO,394,1,female
2014,northeast,Quarterfinal,5,3,Jabberwocks,BROWN UNIVERSITY,314,0,male
2013,northeast,Quarterfinal,3,1,Brown Derbies,BROWN UNIVERSITY,312,0,male
2010,northeast,Semifinal,1,2,Jabberwocks,BROWN UNIVERSITY,350,0,male
2010,northeast,Quarterfinal,3,1,Jabberwocks,BROWN UNIVERSITY,426,2,male
2010,northeast,Quarterfinal,3,2,Higher Keys,BROWN UNIVERSITY,372,0,coed
2008,northeast,Semifinal,1,2,Jabberwocks,BROWN UNIVERSITY,392,1,male
2008,northeast,Quarterfinal,1,1,Jabberwocks,BROWN UNIVERSITY,418,1,male
2007,new england,Semifinal,1,2,Higher Keys,BROWN UNIVERSITY,343,1,coed
2007,new england,Quarterfinal,2,2,Higher Keys,BROWN UNIVERSITY,403,0,coed
2006,northeast,Semifinal,1,2,Jabberwocks,BROWN UNIVERSITY,326,1,male
2006,northeast,Quarterfinal,4,2,Jabberwocks,BROWN UNIVERSITY,344,1,male
2019,northeast,Quarterfinal,4,1,Bottom Line,BRYANT UNIVERSITY,390,2,coed
2018,northeast,Quarterfinal,5,2,Bottom Line,BRYANT UNIVERSITY,342,1,coed
2007,west,Quarterfinal,1,3,Take it SLO,CALIFORNIA POLYTECHNIC UNIVERSITY-SAN LUIS OBISPO,296,0,coed
2019,west,Quarterfinal,2,3,Acasola,CALIFORNIA STATE UNIVERSITY- NORTHRIDGE,366,1,coed
2018,west,Quarterfinal,5,3,Acasola,CALIFORNIA STATE UNIVERSITY- NORTHRIDGE,310,0,coed
2011,west,Quarterfinal,3,2,Acasola,CALIFORNIA STATE UNIVERSITY- NORTHRIDGE,381,1,coed
2009,west,Semifinal,1,2,Acasola,CALIFORNIA STATE UNIVERSITY- NORTHRIDGE,352,1,coed
2009,west,Quarterfinal,2,2,Acasola,CALIFORNIA STATE UNIVERSITY- NORTHRIDGE,362,1,coed
2008,west,Quarterfinal,4,3,Acasola,CALIFORNIA STATE UNIVERSITY- NORTHRIDGE,323,1,coed
2006,western europe,Semifinal,1,2,Fitz Barbershop,CAMBRIDGE UNIVERSITY,460,1,male
2019,united kingdom,Quarterfinal,2,3,DeciBelles,CARDIFF UNIVERSITY,307,0,female
2019,central,Semifinal,1,1,Originals,CARNEGIE MELLON UNIVERSITY,417,2,male
2019,central,Quarterfinal,1,1,Originals,CARNEGIE MELLON UNIVERSITY,426,2,male
2017,central,Quarterfinal,5,1,Treblemakers,CARNEGIE MELLON UNIVERSITY,352,1,coed
2016,central,Semifinal,1,1,Originals,CARNEGIE MELLON UNIVERSITY,388,2,male
2016,central,Quarterfinal,3,1,Originals,CARNEGIE MELLON UNIVERSITY,418,2,male
2016,final,Final,1,2,Originals,CARNEGIE MELLON UNIVERSITY,372,3,male
2015,great lakes,Quarterfinal,5,3,Treblemakers,CARNEGIE MELLON UNIVERSITY,347,2,coed
2015,great lakes,Quarterfinal,5,2,Originals,CARNEGIE MELLON UNIVERSITY,358,1,male
2014,great lakes,Quarterfinal,2,1,Originals,CARNEGIE MELLON UNIVERSITY,423,2,male
2013,great lakes,Quarterfinal,3,1,Originals,CARNEGIE MELLON UNIVERSITY,409,2,male
2012,mid-atlantic,Quarterfinal,4,3,Originals,CARNEGIE MELLON UNIVERSITY,346,0,male
2010,mid-atlantic,Quarterfinal,3,3,Originals,CARNEGIE MELLON UNIVERSITY,274,0,male
2007,mid-atlantic,Quarterfinal,3,3,Originals,CARNEGIE MELLON UNIVERSITY,303,0,male
2019,midwest,Quarterfinal,4,2,Dharmakapella,CASE WESTERN RESERVE UNIVERSITY,380,1,coed
2017,northeast,Quarterfinal,5,2,Divisi,CENTRAL CONNECTICUT STATE UNIVERSITY,323,0,male
2012,northeast,Quarterfinal,2,3,Too Good For Instruments,CENTRAL CONNECTICUT STATE UNIVERSITY,353,2,female
2011,northeast,Quarterfinal,2,3,Too Good for Instruments,CENTRAL CONNECTICUT STATE UNIVERSITY,318,1,female
2017,northwest,Quarterfinal,3,3,Nada Cantata,CENTRAL WASHINGTON UNIVERSITY,366,0,coed
2016,northwest,Quarterfinal,4,2,Nada Cantata,CENTRAL WASHINGTON UNIVERSITY,354,1,coed
2015,west,Quarterfinal,1,1,Boots 'n' Cats,CENTRAL WASHINGTON UNIVERSITY,408,3,coed
2014,west,Quarterfinal,3,3,Nada Cantata,CENTRAL WASHINGTON UNIVERSITY,330,2,coed
2014,west,Quarterfinal,3,2,Boots 'n' Cats,CENTRAL WASHINGTON UNIVERSITY,361,1,coed
2019,southwest,Quarterfinal,4,3,Simply Vocale,CHAPMAN UNIVERSITY,382,0,female
2019,southwest,Quarterfinal,4,1,ChapTones,CHAPMAN UNIVERSITY,402,3,coed
2018,west,Semifinal,1,2,ChapTones,CHAPMAN UNIVERSITY,331,0,coed
2018,west,Quarterfinal,5,2,ChapTones,CHAPMAN UNIVERSITY,367,1,coed
2017,southwest,Quarterfinal,3,1,ChapTones,CHAPMAN UNIVERSITY,384,1,coed
2016,southwest,Semifinal,1,1,SoundCheck,CHAPMAN UNIVERSITY,392,1,coed
2016,southwest,Quarterfinal,1,3,SoundCheck,CHAPMAN UNIVERSITY,350,1,coed
2015,west,Quarterfinal,4,1,SoundCheck,CHAPMAN UNIVERSITY,389,1,coed
2013,west,Semifinal,1,2,SoundCheck,CHAPMAN UNIVERSITY,368,1,coed
2013,west,Quarterfinal,4,2,SoundCheck,CHAPMAN UNIVERSITY,330,0,coed
2013,west,Quarterfinal,4,3,Men of Harmony,CHAPMAN UNIVERSITY,320,0,male
2012,west,Quarterfinal,2,3,Men of Harmony,CHAPMAN UNIVERSITY,324,1,male
2011,west,Quarterfinal,3,1,SoundCheck,CHAPMAN UNIVERSITY,438,2,coed
2011,west,Quarterfinal,4,3,Men of Harmony,CHAPMAN UNIVERSITY,321,1,male
2010,west,Quarterfinal,2,3,SoundCheck,CHAPMAN UNIVERSITY,305,1,coed
2009,west,Quarterfinal,3,3,SoundCheck,CHAPMAN UNIVERSITY,331,1,coed
2018,wildcard,Wildcard,1,1,After School Specials!,CLAREMONT MCKENNA COLLEGE,377,0,coed
2018,west,Semifinal,1,3,After School Specials!,CLAREMONT MCKENNA COLLEGE,323,2,coed
2018,west,Quarterfinal,2,2,After School Specials!,CLAREMONT MCKENNA COLLEGE,376,1,coed
2016,southwest,Quarterfinal,1,1,After School Specials!,CLAREMONT MCKENNA COLLEGE,392,2,coed
2014,west,Quarterfinal,5,1,After School Specials!,CLAREMONT MCKENNA COLLEGE,413,2,coed
2011,south,Quarterfinal,1,3,TakeNote,CLEMSON UNIVERSITY,310,0,female
2010,south,Semifinal,1,2,Tigeroar,CLEMSON UNIVERSITY,313,0,male
2010,south,Quarterfinal,4,1,Tigeroar,CLEMSON UNIVERSITY,403,0,male
2019,mid-atlantic,Quarterfinal,3,3,Trentones,THE COLLEGE OF NEW JERSEY,338,1,coed
2018,mid-atlantic,Quarterfinal,5,2,Trentones,THE COLLEGE OF NEW JERSEY,358,1,coed
2013,mid-atlantic,Quarterfinal,1,2,Trentones,THE COLLEGE OF NEW JERSEY,387,0,coed
2010,mid-atlantic,Quarterfinal,1,3,Trentones,THE COLLEGE OF NEW JERSEY,277,0,coed
2009,mid-atlantic,Quarterfinal,3,3,Trentones,THE COLLEGE OF NEW JERSEY,344,1,coed
2018,central,Quarterfinal,1,3,Other Guys,THE COLLEGE OF SAINT ROSE,304,1,male
2016,northeast,Quarterfinal,3,3,Other Guys,THE COLLEGE OF SAINT ROSE,271,1,male
2016,northeast,Quarterfinal,3,2,Girls Next Door,THE COLLEGE OF SAINT ROSE,290,1,female
2013,northeast,Quarterfinal,3,2,Girls Next Door,THE COLLEGE OF SAINT ROSE,288,1,female
2012,northeast,Quarterfinal,1,1,Girls Next Door,THE COLLEGE OF SAINT ROSE,387,0,female
2019,south,Quarterfinal,2,1,No Ceiling,COLLEGE OF WILLIAM AND MARY,407,1,coed
2018,mid-atlantic,Semifinal,1,2,No Ceiling,COLLEGE OF WILLIAM AND MARY,349,2,coed
2018,mid-atlantic,Quarterfinal,1,1,No Ceiling,COLLEGE OF WILLIAM AND MARY,391,1,coed
2017,south,Quarterfinal,3,1,No Ceiling,COLLEGE OF WILLIAM AND MARY,432,1,coed
2016,south,Quarterfinal,5,2,No Ceiling,COLLEGE OF WILLIAM AND MARY,322,0,coed
2010,south,Quarterfinal,4,2,DoubleTake,COLLEGE OF WILLIAM AND MARY,365,2,coed
2008,south,Quarterfinal,3,2,DoubleTake,COLLEGE OF WILLIAM AND MARY,364,1,coed
2007,south,Quarterfinal,3,2,DoubleTake,COLLEGE OF WILLIAM AND MARY,294,0,coed
2017,northeast,Quarterfinal,1,3,Tonal Recall,COLLEGES OF THE FENWAY,322,0,coed
2019,southwest,Quarterfinal,5,3,OneSound,COLLIN COUNTY COMMUNITY COLLEGE DISTRICT,329,0,coed
2013,mid-atlantic,Quarterfinal,3,3,SHARP,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,328,0,male
2011,northeast,Quarterfinal,2,2,Nonsequitur,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,357,1,coed
2009,northeast,Quarterfinal,3,1,Nonsequitur,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,427,1,coed
2008,northeast,Quarterfinal,4,2,Clefhangers,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,329,2,coed
2013,mid-atlantic,Semifinal,1,1,Chordials,CORNELL UNIVERSITY,366,1,coed
2013,mid-atlantic,Quarterfinal,4,1,Chordials,CORNELL UNIVERSITY,393,1,coed
2013,final,Final,1,3,Chordials,CORNELL UNIVERSITY,352,0,coed
2012,mid-atlantic,Quarterfinal,3,3,Hangovers,CORNELL UNIVERSITY,281,0,male
2012,mid-atlantic,Quarterfinal,3,1,Class Notes,CORNELL UNIVERSITY,363,2,coed
2006,new england,Quarterfinal,2,2,Dodecaphonics,DARTMOUTH COLLEGE,376,0,coed
2007,mid-atlantic,Quarterfinal,4,2,36 Madison Avenue,DREW UNIVERSITY,336,3,male
2019,mid-atlantic,Quarterfinal,5,3,Treblemakers,DREXEL UNIVERSITY,278,0,female
2012,mid-atlantic,Quarterfinal,2,2,8 to the Bar,DREXEL UNIVERSITY,330,0,male
2014,south,Quarterfinal,2,1,Rhythm & Blue,DUKE UNIVERSITY,370,2,coed
2019,united kingdom,Quarterfinal,1,1,Northern Lights,DURHAM UNIVERSITY,408,1,coed
2018,united kingdom,Semifinal,1,3,Northern Lights,DURHAM UNIVERSITY,327,0,coed
2018,united kingdom,Quarterfinal,1,1,Northern Lights,DURHAM UNIVERSITY,388,2,coed
2017,united kingdom,Quarterfinal,3,1,Northern Lights,DURHAM UNIVERSITY,378,2,coed
2016,united kingdom,Quarterfinal,1,2,Northern Lights,DURHAM UNIVERSITY,313,2,coed
2015,mid-atlantic,Quarterfinal,3,3,Melica,ELIZABETHTOWN COLLEGE,311,0,female
2014,mid-atlantic,Quarterfinal,3,2,Vocalign,ELIZABETHTOWN COLLEGE,302,1,coed
2014,mid-atlantic,Quarterfinal,3,1,Melica,ELIZABETHTOWN COLLEGE,318,1,female
2012,mid-atlantic,Quarterfinal,3,2,Phalanx,ELIZABETHTOWN COLLEGE,321,1,male
2010,mid-atlantic,Quarterfinal,2,3,Phalanx,ELIZABETHTOWN COLLEGE,311,0,male
2006,mid-atlantic,Quarterfinal,1,3,Melica,ELIZABETHTOWN COLLEGE,355,0,female
2017,south,Quarterfinal,4,3,Vital Signs,ELON UNIVERSITY,291,0,coed
2016,south,Quarterfinal,2,3,Vital Signs,ELON UNIVERSITY,295,0,coed
2008,south,Quarterfinal,3,3,Sweet Signatures,ELON UNIVERSITY,351,1,female
2015,northeast,Quarterfinal,3,2,Acappellics Anonymous,EMERSON COLLEGE,317,1,coed
2014,northeast,Quarterfinal,4,1,Acappellics Anonymous,EMERSON COLLEGE,399,1,coed
2016,northeast,Quarterfinal,4,3,Acapocalypse,EMMANUEL COLLEGE,298,0,coed
2014,northeast,Quarterfinal,2,1,For Good Measure,EMMANUEL COLLEGE,340,1,female
2015,south,Quarterfinal,2,1,Aural Pleasure,EMORY UNIVERSITY,351,0,coed
2013,south,Semifinal,1,3,Dooley Noted,EMORY UNIVERSITY,318,0,coed
2013,south,Quarterfinal,5,1,Dooley Noted,EMORY UNIVERSITY,422,2,coed
2011,south,Quarterfinal,2,3,Dooley Noted,EMORY UNIVERSITY,347,1,coed
2010,south,Quarterfinal,2,3,Dooley Noted,EMORY UNIVERSITY,324,1,coed
2019,south,Quarterfinal,4,2,Vox,FLORIDA STATE UNIVERSITY,374,1,coed
2018,south,Semifinal,1,1,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,402,0,coed
2018,south,Quarterfinal,1,2,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,407,0,coed
2018,south,Quarterfinal,3,3,AcaBelles,FLORIDA STATE UNIVERSITY,350,1,female
2017,south,Quarterfinal,2,2,Acaphiliacs,FLORIDA STATE UNIVERSITY,398,1,coed
2016,wildcard,Wildcard,1,1,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,362,0,coed
2016,south,Semifinal,1,3,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,375,0,coed
2016,south,Quarterfinal,4,1,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,443,2,coed
2016,south,Quarterfinal,4,2,Acaphiliacs,FLORIDA STATE UNIVERSITY,410,0,coed
2016,south,Quarterfinal,4,3,AcaBelles,FLORIDA STATE UNIVERSITY,376,0,female
2015,south,Semifinal,1,3,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,385,1,coed
2015,south,Quarterfinal,4,2,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,397,2,coed
2015,south,Quarterfinal,4,1,Acaphiliacs,FLORIDA STATE UNIVERSITY,413,1,coed
2015,south,Quarterfinal,4,3,AcaBelles,FLORIDA STATE UNIVERSITY,349,0,female
2014,south,Semifinal,1,3,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,329,1,coed
2014,south,Quarterfinal,1,1,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,406,2,coed
2014,south,Quarterfinal,4,2,Acaphiliacs,FLORIDA STATE UNIVERSITY,397,1,coed
2014,south,Quarterfinal,4,3,AcaBelles,FLORIDA STATE UNIVERSITY,365,1,female
2013,south,Semifinal,1,1,Reverb,FLORIDA STATE UNIVERSITY,403,1,male
2013,south,Quarterfinal,1,1,Reverb,FLORIDA STATE UNIVERSITY,426,1,male
2013,south,Quarterfinal,2,1,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,422,2,coed
2013,south,Quarterfinal,5,3,Acaphiliacs,FLORIDA STATE UNIVERSITY,NA,0,coed
2013,south,Quarterfinal,5,2,AcaBelles,FLORIDA STATE UNIVERSITY,418,1,female
2012,south,Quarterfinal,3,1,Reverb,FLORIDA STATE UNIVERSITY,414,2,male
2012,south,Quarterfinal,3,3,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,324,0,coed
2012,wildcard,Wildcard,1,3,AcaBelles,FLORIDA STATE UNIVERSITY,353,0,female
2012,south,Semifinal,1,2,AcaBelles,FLORIDA STATE UNIVERSITY,360,3,female
2012,south,Quarterfinal,3,2,AcaBelles,FLORIDA STATE UNIVERSITY,410,1,female
2011,south,Semifinal,1,3,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,390,1,coed
